id,city.id.$numberLong,city.name,city.findname,city.country,city.coord.lon,city.coord.lat,city.zoom.$numberLong,id.$numberLong
14256,14256,Azadshahr,AZADSHAHR,IR,48.570728,34.790878,10
18918,18918,Protaras,PROTARAS,CY,34.058331,35.012501,6
23814,23814,Kahriz,KAHRIZ,IR,47.055302,34.383801,7
,24851,Nurabad,NURABAD,IR,47.9725,34.073399,9,24851
,32723,Istgah-e Garmsar,ISTGAH-E GARMSAR,IR,52.309422,35.23455,8,32723
,32767,Qarchak,QARCHAK,IR,51.56889,35.439442,9,32767
,41210,Khorram Darreh,KHORRAM DARREH,IR,49.195999,36.213001,12,41210
50672,50672,Wanlaweyn,WANLAWEYN,SO,44.893799,2.6185,9,
52867,52867,Qoryooley,QORYOOLEY,SO,44.529991,1.78784,8,
53157,53157,Qandala,QANDALA,SO,49.872822,11.47197,8,
53654,53654,Mogadishu,MOGADISHU,SO,45.34375,2.03711,1,
54715,54715,Luuq,LUUQ,SO,42.544498,3.79376,8,
55671,55671,Kismaayo,KISMAAYO,SO,42.545361,-0.35817,6,
56166,56166,Jilib,JILIB,SO,42.785351,0.48829,9,
56335,56335,Jawhar,JAWHAR,SO,45.500481,2.78087,8,
56399,56399,Jamaame,JAMAAME,SO,42.744968,0.06968,6,
57289,57289,Hargeysa,HARGEYSA,SO,44.064999,9.56,6,
59611,59611,Gaalkacyo,GAALKACYO,SO,47.430828,6.76972,7,
,60019,Eyl,EYL,SO,49.816399,7.9803,5,60019
62691,62691,Ceerigaabo,CEERIGAABO,SO,47.36795,10.61616,7,
62788,62788,Ceeldheer,CEELDHEER,SO,47.180641,3.84878,6,
63571,63571,Buurhakaba,BUURHAKABA,SO,44.07806,2.80257,9,
63689,63689,Buulobarde,BUULOBARDE,SO,45.56744,3.85375,8,
63795,63795,Burco,BURCO,SO,45.53363,9.52212,6,
64013,64013,Boosaaso,BOOSAASO,SO,49.18158,11.28421,6,
64435,64435,Berbera,BERBERA,SO,45.01432,10.43959,8,
64460,64460,Beledweyne,BELEDWEYNE,SO,45.203609,4.73583,7,
